"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner","wap","wtr"
"otolonechmegonit",141,1255,2,True,True,4.612623866414681,1.0946295045652585,76.2688323117901,0.2564267682594724
"quaemboizniluganic",142,1255,1,False,False,"","","",""
"echlimiseej",143,1255,1,False,False,"","","",""
"saekep",144,1255,1,False,False,"","","",""
"echlyidocteniemte",145,1255,4,True,True,"","","",""
"ecenivri",146,1255,2,True,True,15.057270468709111,2.427237159105142,83.87996573383441,0.29925118763635483
"nehabazexzic",147,1255,1,False,False,"","","",""
"ingifokraelgaimche",148,1255,1,False,False,"","","",""
"essatetig",149,1255,2,True,True,8.752458700468212,1.7782549910941081,79.68279483570736,0.27462694723917946
"tehsidetegenichurgew",150,1255,1,False,True,"","","",""
"wiunatiwma",151,1255,1,False,False,"","","",""
"nyvulamru",152,1255,2,True,True,9.938808927149,3.327185563227781,66.52329682947027,0.21070472190800568
"epposnysarapbetar",153,1255,1,False,False,"","","",""
"suchorsexumowesfo",154,1255,1,False,True,"","","",""
"enalatsineles",155,1255,2,True,True,10.788688316645827,1.7331221038635938,83.93574776657914,0.2995988258927803
"ardoro",156,1255,2,True,True,12.566079864057143,4.108477510682988,67.30501831016927,0.21410237107562988
"vudichtinechutiniqe",157,1255,1,False,False,"","","",""
"ladgioldigotytageh",158,1255,1,False,False,"","","",""
"nateqpaquydalji",159,1255,1,False,False,"","","",""
"ecenivri",160,1939,1,False,False,"","","",""
"olaqirviif",161,1939,1,False,False,"","","",""
"dorejif",162,1939,1,False,False,"","","",""
"gelgegibnehdo",163,1939,1,False,False,"","","",""
"wegewulcyoquudsas",164,1939,1,False,False,"","","",""
"nateqpaquydalji",165,1939,1,False,False,"","","",""
"ardoro",166,1939,1,False,False,"","","",""
"essatetig",167,1939,1,False,False,"","","",""
"refucejyoq",168,1939,1,False,False,"","","",""
"huecarsaebne",169,1939,1,False,False,"","","",""
"vudichtinechutiniqe",170,1939,1,False,False,"","","",""
"quinutumvepa",171,1939,1,False,False,"","","",""
"omnuoknechrapolich",172,1939,1,False,False,"","","",""
"tiradcharedqiraslesyr",173,1939,1,False,False,"","","",""
"enalatsineles",174,1939,1,False,False,"","","",""
"nepedheffewixeprir",175,1939,2,True,False,23.75829444277282,7.784386104568183,67.23508026504756,0.21379675170015786
"ekpiteri",176,1939,1,False,False,"","","",""
"wegewulcyoquudsas",177,1939,1,False,False,"","","",""
"vudichtinechutiniqe",178,1939,1,False,False,"","","",""
"aqtodeunneikvedav",179,1939,1,False,False,"","","",""
"ecenivri",180,56,2,True,True,18.255967691669454,3.2065626863721186,82.43553702258504,0.29045010750769307
"olaqirviif",181,56,2,False,True,9.813937089733216,4.534779375951794,53.792455214576194,0.1601193415865511
"dorejif",182,56,2,True,True,14.346002373910888,7.137544183135104,50.2471559874047,0.14732152031703397
"gelgegibnehdo",183,56,2,True,True,13.729303091576678,5.557548398452109,59.52053530042741,0.18188262897331203
"wegewulcyoquudsas",184,56,2,True,True,10.19118045442571,5.467741386145036,46.34830174388122,0.13376340210145993
"nateqpaquydalji",185,56,1,False,False,"","","",""
"ardoro",186,56,2,True,True,13.574688839074284,5.978589419641137,55.95781612001323,0.16817857257258548
"essatetig",187,56,2,True,True,13.260656097145112,2.2342450711225603,83.1513233225046,0.2947643020969829
"refucejyoq",188,56,1,False,False,"","","",""
"huecarsaebne",189,56,2,True,True,15.399053095366094,4.905172983929369,68.14626877671172,0.21780445067609466
