"result_creator","result_id","task_id","num_annot","inside","resized","outer","inner"
"ludenkisedadadeldoch",9408,560,2,True,True,16.550969655830173,4.438670883526347
"lesdohanusre",9409,560,2,True,False,23.75829444277282,4.890484560582953
"lesdohanusre",9410,560,2,True,False,23.75829444277282,3.7425321288746316
"lesdohanusre",9411,560,2,True,False,23.75829444277282,3.7684323142399885
"itseidlaelextu",9412,560,1,False,False,"",""
"catafewechu",9413,560,6,True,True,"",""
"catafewechu",9414,560,6,True,True,"",""
"lesdohanusre",9415,560,2,True,False,23.75829444277282,4.974104737962358
"dotrutole",9416,560,2,True,True,20.885605051559622,5.2839249911462876
"diajerxites",9417,560,2,True,True,19.626961521737982,6.894354322091917
"dotrutole",9418,560,2,True,False,23.75829444277282,6.290349316868716
"catafewechu",9419,560,6,True,True,"",""
"tiradcharedqiraslesyr",9420,2078,1,False,False,"",""
"ludenkisedadadeldoch",9421,2078,1,False,False,"",""
"itseidlaelextu",9422,2078,1,False,False,"",""
"obtaochronbi",9423,2078,1,False,False,"",""
"tiradcharedqiraslesyr",9424,2078,1,False,False,"",""
"ludenkisedadadeldoch",9425,2078,1,False,False,"",""
"lesdohanusre",9426,2078,1,False,False,"",""
"nafapotquawaj",9427,2078,1,False,False,"",""
"ludenkisedadadeldoch",9428,2078,1,False,False,"",""
"lesdohanusre",9429,2078,1,False,False,"",""
"lesdohanusre",9430,2078,1,False,False,"",""
"lesdohanusre",9431,2078,1,False,False,"",""
"itseidlaelextu",9432,2078,1,False,False,"",""
"catafewechu",9433,2078,1,False,False,"",""
"catafewechu",9434,2078,1,False,False,"",""
"lesdohanusre",9435,2078,1,False,False,"",""
"dotrutole",9436,2078,1,False,False,"",""
"diajerxites",9437,2078,1,False,False,"",""
"dotrutole",9438,2078,1,False,False,"",""
"catafewechu",9439,2078,1,False,False,"",""
"tiradcharedqiraslesyr",9440,579,2,True,True,18.9011920955791,7.589201359464712
"ludenkisedadadeldoch",9441,579,2,True,True,22.05701088389217,7.443364410972966
"itseidlaelextu",9442,579,1,False,False,"",""
"obtaochronbi",9443,579,2,True,True,15.17396220904064,6.697125348732111
"tiradcharedqiraslesyr",9444,579,2,True,True,17.638512293676733,6.139871218562326
"ludenkisedadadeldoch",9445,579,2,True,True,20.231255927732803,7.805536419996376
"lesdohanusre",9446,579,2,True,False,23.75829444277281,4.147448782054885
"nafapotquawaj",9447,579,1,False,False,"",""
"ludenkisedadadeldoch",9448,579,2,True,True,21.671655979816016,7.506766312905178
"lesdohanusre",9449,579,2,True,False,23.758294442772787,5.449209032465406
"lesdohanusre",9450,579,2,True,False,23.75829444277282,3.9532473015388327
"lesdohanusre",9451,579,2,True,False,23.75829444277281,7.609564510476829
"itseidlaelextu",9452,579,1,False,False,"",""
"catafewechu",9453,579,4,True,False,"",""
"catafewechu",9454,579,4,True,False,"",""
"lesdohanusre",9455,579,2,True,False,23.75829444277282,7.681496744119037
"dotrutole",9456,579,2,True,False,23.75829444277284,9.34218116890911
"diajerxites",9457,579,2,True,True,20.105738256838563,5.1891272818576795
"dotrutole",9458,579,2,True,False,23.75829444277282,8.085247412663733
"catafewechu",9459,579,4,True,True,"",""
"tiradcharedqiraslesyr",9460,2349,1,False,False,"",""
"ludenkisedadadeldoch",9461,2349,2,True,True,19.426750123857722,6.931541863187759
"itseidlaelextu",9462,2349,1,False,False,"",""
"obtaochronbi",9463,2349,2,True,True,13.969944620780845,6.483671228590395
"tiradcharedqiraslesyr",9464,2349,1,False,False,"",""
"ludenkisedadadeldoch",9465,2349,2,True,True,18.78815793212679,6.677897702246429
"lesdohanusre",9466,2349,2,True,False,23.75829444277282,5.063064612537591
"nafapotquawaj",9467,2349,1,False,False,"",""
"ludenkisedadadeldoch",9468,2349,2,True,True,18.64550977236934,6.924080259237789
"lesdohanusre",9469,2349,2,True,False,23.7582944427728,5.495682776102685
"lesdohanusre",9470,2349,2,True,False,23.75829444277282,6.15620558261969
"lesdohanusre",9471,2349,2,True,False,23.75829444277282,5.197229993389283
"itseidlaelextu",9472,2349,1,False,False,"",""
"catafewechu",9473,2349,2,True,False,23.7582944427728,6.147219888401951
"catafewechu",9474,2349,2,True,False,23.75829444277282,5.961955700334255
"lesdohanusre",9475,2349,2,True,False,23.75829444277282,6.085699155027418
"dotrutole",9476,2349,2,True,False,23.75829444277282,10.227693126513948
"diajerxites",9477,2349,2,True,False,23.75829444277282,9.389117967707412
"dotrutole",9478,2349,2,True,False,23.7582944427728,5.934186775737795
"catafewechu",9479,2349,2,True,True,18.299914137309838,6.955675669393928
"tiradcharedqiraslesyr",9480,177,1,False,False,"",""
"ludenkisedadadeldoch",9481,177,1,False,False,"",""
"itseidlaelextu",9482,177,1,False,False,"",""
"obtaochronbi",9483,177,2,True,True,9.163129075659816,3.7070570900505313
"tiradcharedqiraslesyr",9484,177,1,False,False,"",""
"ludenkisedadadeldoch",9485,177,1,False,False,"",""
"lesdohanusre",9486,177,2,True,True,7.282747920758096,0.921202842173864
"nafapotquawaj",9487,177,1,False,False,"",""
"ludenkisedadadeldoch",9488,177,1,False,False,"",""
"lesdohanusre",9489,177,1,False,False,"",""
"lesdohanusre",9490,177,2,True,True,16.105184360429778,3.6600645783281576
"lesdohanusre",9491,177,1,False,False,"",""
"itseidlaelextu",9492,177,1,False,False,"",""
"catafewechu",9493,177,1,False,False,"",""
"catafewechu",9494,177,1,False,False,"",""
"lesdohanusre",9495,177,1,False,False,"",""
"dotrutole",9496,177,1,False,False,"",""
"diajerxites",9497,177,1,False,False,"",""
"dotrutole",9498,177,1,False,False,"",""
"catafewechu",9499,177,1,False,False,"",""
"tiradcharedqiraslesyr",9500,2204,2,True,True,9.630607056865157,3.9016590545661582
"ludenkisedadadeldoch",9501,2204,2,True,True,9.727421997119357,2.8261213103173217
"itseidlaelextu",9502,2204,1,False,False,"",""
"obtaochronbi",9503,2204,2,True,True,8.220802150616374,2.6684693527036134
"tiradcharedqiraslesyr",9504,2204,2,True,True,11.562591246158672,3.0389018444378744
"ludenkisedadadeldoch",9505,2204,2,True,True,11.360893983290662,3.64025681987087
"lesdohanusre",9506,2204,2,True,True,13.652665574745093,2.160208278262353
"nafapotquawaj",9507,2204,1,False,False,"",""
"ludenkisedadadeldoch",9508,2204,2,True,True,11.76535023578791,2.6692748611652433
"lesdohanusre",9509,2204,2,True,True,13.551320991049836,3.152066947862788
"lesdohanusre",9510,2204,2,True,True,15.239566967066887,3.19895211399519
"lesdohanusre",9511,2204,2,True,True,18.023530249980276,4.4349326020716155
"itseidlaelextu",9512,2204,1,False,False,"",""
