"airway_id","subject_id","task_class","task_id"
53,28,"good",2118
45,19,"good",1492
31,28,"good",2100
84,13,"good",1189
185,19,"good",1585
100,41,"good",2317
113,41,"good",2325
25,3,"good",176
34,6,"good",487
64,2,"good",118
76,2,"good",129
9,13,"good",1130
407,19,"good",1710
175,4,"good",359
91,4,"good",290
97,25,"good",1954
453,19,"good",1733
11,16,"good",1268
55,12,"good",1091
165,18,"good",1464
50,21,"good",1784
180,41,"good",2370
19,2,"good",81
40,27,"good",2040
98,2,"good",147
29,10,"good",807
47,8,"good",734
165,4,"good",350
36,17,"good",1326
403,19,"good",1707
92,19,"good",1519
124,28,"good",2180
74,6,"good",522
144,18,"good",1446
42,41,"good",2262
139,7,"good",647
26,23,"good",1833
118,13,"good",1215
138,11,"good",1039
399,19,"good",1704
83,10,"good",854
33,17,"good",1324
66,27,"good",2062
86,41,"good",2305
77,12,"good",1104
104,7,"good",614
20,8,"good",715
52,19,"good",1495
42,4,"good",249
60,21,"good",1790
169,18,"good",1467
33,11,"good",949
74,27,"good",2069
49,26,"good",2018
103,8,"good",777
48,7,"good",562
27,12,"good",1066
53,7,"good",567
14,25,"good",1887
24,5,"good",402
37,19,"good",1485
175,13,"good",1263
112,10,"good",879
11,5,"good",394
143,18,"good",1445
44,16,"good",1295
75,12,"good",1103
95,2,"good",146
21,6,"good",479
51,25,"good",1915
44,13,"good",1154
27,23,"good",1834
99,4,"good",297
150,18,"good",1450
98,21,"good",1816
57,25,"good",1921
11,10,"good",792
303,19,"good",1650
202,7,"good",702
38,4,"good",245
404,19,"good",1708
58,25,"good",1922
69,8,"good",752
85,41,"good",2304
145,13,"good",1238
67,3,"good",209
157,10,"good",919
11,19,"good",1474
58,2,"good",112
132,4,"good",325
93,4,"good",292
78,21,"good",1802
169,10,"good",927
85,2,"good",137
109,28,"good",2165
426,19,"good",1718
49,13,"good",1159
34,2,"good",92
33,4,"good",240
32,5,"good",406
44,23,"good",1845
21,13,"good",1135
93,7,"good",603
52,21,"good",1786
24,1,"good",9
63,3,"good",207
13,18,"good",1331
62,19,"good",1501
77,1,"good",57
25,41,"good",2248
52,5,"good",423
16,13,"good",1132
99,41,"good",2316
71,10,"good",843
156,10,"good",918
32,2,"good",90
100,11,"good",1007
220,4,"good",389
17,26,"good",1995
25,10,"good",803
22,16,"good",1276
